Customer Name,Customer e-mail,Country,Gender,Age,Age Group,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,USA,Male,42,Middle,62812,11609,238961,35321
Harlan Barnes,eu.dolor@diam.co.uk,USA,Male,41,Middle,66647,9573,530974,45116
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,USA,Female,43,Middle,53799,11160,638467,42926
Jade Cunningham,malesuada@dignissim.com,USA,Female,58,Seniour,79370,14426,548599,67422
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,USA,Female,57,Seniour,59729,5359,560304,55915
Carla Hester,mi@Aliquamerat.edu,USA,Female,57,Seniour,68500,14179,428485,56612
Griffin Rivera,vehicula@at.co.uk,USA,Female,47,Middle,39815,5958,326373,28926
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,USA,Female,50,Middle,51752,10986,629312,47435
Marny Obrien,Phasellus@sedsemegestas.org,USA,Male,47,Middle,58139,3441,630059,48014
Rhonda Chavez,nec@nuncest.com,USA,Female,43,Middle,53457,12884,476643,38190
Jerome Rowe,ipsum.cursus@dui.org,USA,Female,50,Middle,73349,8271,612739,59046
Akeem Gibson,turpis.egestas.Fusce@purus.edu,USA,Female,53,Seniour,55422,10015,293863,42289
Quin Smith,nulla@ipsum.edu,USA,Male,44,Middle,37336,10218,430907,28700
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,USA,Male,48,Middle,68304,9467,420322,49259
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,USA,Male,55,Seniour,72776,10598,146345,49510
Thomas Williams,aliquet.molestie@ut.org,USA,Female,53,Seniour,64662,11326,481433,53017
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,USA,Male,45,Middle,63260,11496,370356,41815
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,USA,Female,48,Middle,52682,12515,549444,43902
Sloane Mann,at.augue@augue.net,USA,Female,52,Seniour,54503,7378,431099,44634
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,USA,Male,59,Seniour,55368,13273,566022,54828
